"cutoff","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
0.39,0.875112960229052,0.966509009440285,0.933246185700791,0.935335921502497,0.933246185700791,0.875112960229052,0.903245170108234,0.348550008264282,0.305020629520017,0.326838335043364,0.920810984834669
0.4,0.872361651679864,0.968285046818452,0.93637424429409,0.934118434876982,0.93637424429409,0.872361651679864,0.903235219869424,0.348550008264282,0.30406166090246,0.324722366890478,0.920323349249158
0.41,0.869923500201315,0.969883959175076,0.939227960354721,0.933047494922607,0.939227960354721,0.869923500201315,0.903248282493276,0.348550008264282,0.303211843184462,0.322830937730971,0.919903729688196
0.42,0.867275086118194,0.971389521858185,0.941923572140029,0.931875848164979,0.941923572140029,0.867275086118194,0.903059311276479,0.348550008264282,0.302288738433903,0.320927034182943,0.91933230398819
0.43,0.86476982955308,0.972844819332478,0.944563076908042,0.930775625362118,0.944563076908042,0.86476982955308,0.902906975386347,0.348550008264282,0.301415531237428,0.319105773458867,0.918807324442779
0.44,0.862210888918713,0.974197192807767,0.947029629993612,0.929648883975478,0.947029629993612,0.862210888918713,0.902632071937055,0.348550008264282,0.300523612458172,0.31733285099031,0.91820404086324
0.45,0.859705632353599,0.975604618654616,0.949634812860122,0.928557108749932,0.949634812860122,0.859705632353599,0.902435359199046,0.348550008264282,0.299650405261697,0.315542776237537,0.917655125504107
0.46,0.857070639287791,0.976870823200506,0.951983661624694,0.927400186333992,0.951983661624694,0.857070639287791,0.90203731866828,0.348550008264282,0.298731978406833,0.313799480441718,0.916970731244148
0.47,0.854449067239297,0.978036497328763,0.954159193889225,0.926248404712304,0.954159193889225,0.854449067239297,0.901555578108147,0.348550008264282,0.297818229447665,0.31212635308133,0.91624278228403
0.48,0.851572495861853,0.97921174578251,0.956364896978954,0.924983664083821,0.956364896978954,0.851572495861853,0.90093168657278,0.348550008264282,0.296815600470284,0.310358108508469,0.915392120822181
0.49,0.848861450364604,0.980267315167646,0.958361533410778,0.923793884382528,0.958361533410778,0.848861450364604,0.900294173467451,0.348550008264282,0.295870665539814,0.308725522910774,0.914564382766125
